 
-- ======================================================================
--                     Simulation tb_05 start                               
-- ======================================================================
---- Initial simulation
// ================================================================
// File Name    : log.txt                                          
// Test Pattern : tb_05                                     
// ================================================================
---- clock ---- 1111 ---- enable
---- Wait for  64 cycles end
---- Wait for  64 cycles end
---- LBUS BRAM write   ADD :0x00010000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00020000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00040000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00080000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00100000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00200000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00400000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00800000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM read   ADD :0x00010000    SIZE :0x100
---- [Error      ]Read bram ADD :0x02001d  EDAT :0x0000001d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02001e  EDAT :0x0000001e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02001f  EDAT :0x0000001f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020020  EDAT :0x00000020  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020021  EDAT :0x00000021  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020022  EDAT :0x00000022  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020023  EDAT :0x00000023  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020024  EDAT :0x00000024  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020025  EDAT :0x00000025  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020026  EDAT :0x00000026  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020027  EDAT :0x00000027  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020028  EDAT :0x00000028  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020029  EDAT :0x00000029  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02002a  EDAT :0x0000002a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02002b  EDAT :0x0000002b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02002c  EDAT :0x0000002c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02002d  EDAT :0x0000002d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02002e  EDAT :0x0000002e  RDAT :0xffffffff
